nhom_chinh,so_la_ma,nhom_phu,tt,role,ten_goc,ten_sach,ma_ky_hieu,gia_tri_1000d
"PHƯƠNG TIỆN, THIẾT BỊ",III,,2,MAT_HANG,Phương tiện chống mối mọt,Phương tiện chống mối mọt,,750
"PHƯƠNG TIỆN, THIẾT BỊ",III,,1,MAT_HANG,Bơm tay các loại,Bơm tay các loại,,750
"PHƯƠNG TIỆN, THIẾT BỊ",III,,2,MAT_HANG,Máy phun thuốc trừ sâu,Máy phun thuốc trừ sâu,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,3,MAT_HANG,Phương tiện chống mối mọt khác,Phương tiện chống mối mọt khác,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,3,MAT_HANG,Thiết bị dùng điện-dẫn,Thiết bị dùng điện-dẫn,,4228150
"PHƯƠNG TIỆN, THIẾT BỊ",III,,1,MAT_HANG,Tủ lạnh các loại,Tủ lạnh các loại,,214600
"PHƯƠNG TIỆN, THIẾT BỊ",III,,2,MAT_HANG,Máy điều hoà nhiệt độ các loại,Máy điều hoà nhiệt độ các loại,,2302500
"PHƯƠNG TIỆN, THIẾT BỊ",III,,3,MAT_HANG,Quạt bàn các loại,Quạt bàn các loại,,86450
"PHƯƠNG TIỆN, THIẾT BỊ",III,,4,MAT_HANG,Quạt trần các loại,Quạt trần các loại,,1009200
"PHƯƠNG TIỆN, THIẾT BỊ",III,,5,MAT_HANG,Quạt đảo trần,Quạt đảo trần,,141600
"PHƯƠNG TIỆN, THIẾT BỊ",III,,6,MAT_HANG,Quạt đứng các loại,Quạt đứng các loại,,154000
"PHƯƠNG TIỆN, THIẾT BỊ",III,,7,MAT_HANG,Quạt treo tường các loại,Quạt treo tường các loại,,289800
"PHƯƠNG TIỆN, THIẾT BỊ",III,,8,MAT_HANG,Quạt thông gió các loại,Quạt thông gió các loại,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,9,MAT_HANG,Bình đun nước bằng điện các loại,Bình đun nước bằng điện các loại,,30000
"PHƯƠNG TIỆN, THIẾT BỊ",III,,4,MAT_HANG,Vật chứa đựng dầu,Vật chứa đựng dầu,,71100
"PHƯƠNG TIỆN, THIẾT BỊ",III,,1,MAT_HANG,Phuy các loại,Phuy các loại,,1250
"PHƯƠNG TIỆN, THIẾT BỊ",III,,2,MAT_HANG,Can sắt các loại,Can sắt các loại,,200
"PHƯƠNG TIỆN, THIẾT BỊ",III,,3,MAT_HANG,Can nhựa các loại,Can nhựa các loại,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,4,MAT_HANG,Stéccác (3 m3 - 5 m3),Stéccác (3 m3 - 5 m3),,69650
"PHƯƠNG TIỆN, THIẾT BỊ",III,,5,MAT_HANG,Vật chứa nước,Vật chứa nước,,463770
"PHƯƠNG TIỆN, THIẾT BỊ",III,,1,MAT_HANG,Đài nước kim loại,Đài nước kim loại,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,2,MAT_HANG,Đài nước bằng bê tông,Đài nước bằng bê tông,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,3,MAT_HANG,Đài nước bằng gạch,Đài nước bằng gạch,,75000
"PHƯƠNG TIỆN, THIẾT BỊ",III,,4,MAT_HANG,Bể chứa kim loại,Bể chứa kim loại,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,5,MAT_HANG,Bể chứa bằng bê tông,Bể chứa bằng bê tông,,60000
"PHƯƠNG TIỆN, THIẾT BỊ",III,,6,MAT_HANG,Bể chứa bằng gạch,Bể chứa bằng gạch,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,7,MAT_HANG,Phuy các loại,Phuy các loại,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,8,MAT_HANG,Can sắt các loại,Can sắt các loại,,0
"PHƯƠNG TIỆN, THIẾT BỊ",III,,9,MAT_HANG,Can nhựa các loại,Can nhựa các loại,,420
"PHƯƠNG TIỆN, THIẾT BỊ",III,,10,MAT_HANG,Stéc 3 - 5 m3,Stéc 3 - 5 m3,,328350
"PHƯƠNG TIỆN, THIẾT BỊ",III,,6,MAT_HANG,Trạm xử lý nước,Trạm xử lý nước,,
"PHƯƠNG TIỆN, THIẾT BỊ",III,,7,MAT_HANG,Thiết bị vệ sinh,Thiết bị vệ sinh,,175550
"PHƯƠNG TIỆN, THIẾT BỊ",III,,1,MAT_HANG,Chậu rửa (lavabô),Chậu rửa (lavabô),,143650
"PHƯƠNG TIỆN, THIẾT BỊ",III,,2,MAT_HANG,Bình nóng lạnh các loại,Bình nóng lạnh các loại,,31900
"PHƯƠNG TIỆN, THIẾT BỊ",III,,8,MAT_HANG,Giếng nước,Giếng nước,,245000
"PHƯƠNG TIỆN, THIẾT BỊ",III,,1,MAT_HANG,Giếng xây bằng gạch đá,Giếng xây bằng gạch đá,,95000
"PHƯƠNG TIỆN, THIẾT BỊ",III,,2,MAT_HANG,Giếng khoan,Giếng khoan,,150000
"PHƯƠNG TIỆN, THIẾT BỊ",III,,3,MAT_HANG,Giếng đóng,Giếng đóng,,0
VẬT CHẤT SSCĐ,IV,,IV,NHOM_CHINH,VẬT CHẤT SSCĐ,VẬT CHẤT SSCĐ,,441739.74
VẬT CHẤT SSCĐ,IV,THEO CHỈ THỊ 15,,NHOM_PHU,THEO CHỈ THỊ 15,THEO CHỈ THỊ 15,,441739.74
VẬT CHẤT SSCĐ,IV,THEO CHỈ THỊ 15,1,MAT_HANG,Nhà bạt Chỉ huy (nhà Tiểu đội),Nhà bạt Chỉ huy (nhà Tiểu đội),,9880
VẬT CHẤT SSCĐ,IV,THEO CHỈ THỊ 15,2,MAT_HANG,Nhà bạt Quân y-S16A,Nhà bạt Quân y-S16A,,8500
VẬT CHẤT SSCĐ,IV,THEO CHỈ THỊ 15,3,MAT_HANG,Bể mềm 2 m3,Bể mềm 2 m3,,34750
VẬT CHẤT SSCĐ,IV,THEO CHỈ THỊ 15,4,MAT_HANG,Bể mềm 5 m3,Bể mềm 5 m3,,138381
VẬT CHẤT SSCĐ,IV,THEO CHỈ THỊ 15,5,MAT_HANG,Bể mềm 10 m3,Bể mềm 10 m3,,203019
VẬT CHẤT SSCĐ,IV,THEO CHỈ THỊ 15,6,MAT_HANG,Đèn bão,Đèn bão,,42140
VẬT CHẤT SSCĐ,IV,THEO CHỈ THỊ 15,7,MAT_HANG,Dầu thắp,Dầu thắp,,5069.740000000001
"VẬT CHẤT HL, DT",V,,V,NHOM_CHINH,"VẬT CHẤT HL, DT","VẬT CHẤT HL, DT",,966397
"VẬT CHẤT HL, DT",V,,1,MAT_HANG,Nhà bạt,Nhà bạt,,512946
"VẬT CHẤT HL, DT",V,,1,MAT_HANG,Nhà bạt chỉ huy,Nhà bạt chỉ huy,,21000
"VẬT CHẤT HL, DT",V,,2,MAT_HANG,Nhà bạt tiểu đội + khẩu đội,Nhà bạt tiểu đội + khẩu đội,,167960
"VẬT CHẤT HL, DT",V,,3,MAT_HANG,Nhà bạt trung đội + diễn tập,Nhà bạt trung đội + diễn tập,,205200
