commune_code,commune_full_name,province_code,province_full_name,boundary_source_url
09787,Xã Liên Minh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09787_lien_minh.geojson
09817,Xã Ô Diên,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09817_o_dien.geojson
09832,Xã Hoài Đức,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09832_hoai_duc.geojson
09856,Xã Dương Hoà,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09856_duong_hoa.geojson
09871,Xã Sơn Đồng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09871_son_dong.geojson
09877,Xã An Khánh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09877_an_khanh.geojson
09886,Phường Dương Nội,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09886_duong_noi.geojson
09895,Xã Quốc Oai,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09895_quoc_oai.geojson
09910,Xã Kiều Phú,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09910_kieu_phu.geojson
09931,Xã Hưng Đạo,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09931_hung_dao.geojson
09952,Xã Phú Cát,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09952_phu_cat.geojson
09955,Xã Thạch Thất,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09955_thach_that.geojson
09982,Xã Hạ Bằng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09982_ha_bang.geojson
09988,Xã Hoà Lạc,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/09988_hoa_lac.geojson
10003,Xã Tây Phương,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10003_tay_phuong.geojson
10015,Phường Chương Mỹ,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10015_chuong_my.geojson
10030,Xã Phú Nghĩa,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10030_phu_nghia.geojson
10045,Xã Xuân Mai,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10045_xuan_mai.geojson
10072,Xã Quảng Bị,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10072_quang_bi.geojson
10081,Xã Trần Phú,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10081_tran_phu.geojson
10096,Xã Hoà Phú,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10096_hoa_phu.geojson
10114,Xã Thanh Oai,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10114_thanh_oai.geojson
10126,Xã Bình Minh,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10126_binh_minh.geojson
10144,Xã Tam Hưng,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10144_tam_hung.geojson
